comunidad_nombre,pueblo,situacion_inscripcion,municipio_nombre,municipio_id,localidad,familias_cantidad,miembros_cantidad,longitud,latitud
Comunidad Pueblo Guaraní Yvyturusú,Guaraní (gran nación),Inscripta CPAI-REPROCI,José C. Paz,06412,José C. Paz,31,94,-58.79249,-34.51688
Comunidad Indígena Tribu Ignacio Coliqueo,Mapuche,Inscripta CPAI-REPROCI,General Viamonte,06385,Los Toldos,23,63,-61.04677,-34.99922
"Comunidad de las Pampas ""Cacique Cipriano Catriel""",Mapuche,Inscripta INAI-RENACI,Azul,06049,Azul,26,68,-59.84759,-36.77192
Comunidad Taupa,Guaraní (gran nación),Inscripta INAI-RENACI,La Matanza,06427,Virrey del Pino,8,30,-58.65119,-34.82218
Comunidad Indígena del Pueblo Ava Guaraní Cuymbae Toro,Guaraní (gran nación),Inscripta INAI-RENACI,Almirante Brown,06028,Glew,10,33,-58.36698,-34.88528
Comunidad Indígena de Pueblo Tupí Guaraní Hipólito Yumbay,Guaraní (gran nación),Inscripta INAI-RENACI,Almirante Brown,06028,Glew,11,47,-58.36698,-34.88562
Comunidad Indígena del Pueblo Mbyá Guaraní  Mbyá Apyteré,Guaraní (gran nación),Inscripta INAI-RENACI,Escobar,06252,Maquinista Savio,12,46,-58.78031,-34.40275
Comunidad Indígena Tupí Guaraní Pe Ñangatuña Opabe Y Ba Año Malvinape (El Rincón de la Esperanza de Malvinas),Guaraní (gran nación),Inscripta INAI-RENACI,Esteban Echeverría,06260,Monte Grande,14,77,-58.48108,-34.7997
Comunidad Ava Guaraní Iwi Imemby,Guaraní (gran nación),Inscripta INAI-RENACI,La Plata / Berazategui,06441/06091,Abasto / El Pato,14,32,-58.115087,-34.984676
Comunidad Indígena del PuebloTupí Guaraní Caaguy Poty,Guaraní (gran nación),Inscripta INAI-RENACI,José C. Paz,06412,José C. Paz,17,83,-58.79492,-34.52024
